name,parent,clusterid,label,compute_pos,svg_pos,model_level,percentage,mi,children
Z69,fake_root,0,"ct,organs,mri,bone,tomography,rays,polyps","1729.15802469,-1763.81481481","2005.8,-1777.2",6,0.18,"Z65,0.13638350422358023","Z11235,Z11234,Z11237,Z11236,Z11231,Z11233,Z11232,Z11239,Z11238,Z3170,Z460,Z461,Z462,Z463,Z2438,Z2439,Z2436,Z2437,Z2449,Z2448,Z2441,Z2440,Z2443,Z2442,Z2445,Z2444,Z2447,Z2446,Z11268,Z11262,Z11260,Z11261,Z11266,Z11267,Z11264,Z2452,Z2453,Z2450,Z2451,Z2454,Z11278,Z11271,Z11270,Z11273,Z11272,Z11275,Z11274,Z11277,Z11276,Z11269,Z11263,Z11265,Z525,Z524,Z11244,Z11245,Z11246,Z11247,Z11240,Z11241,Z11242,Z11243,Z11248,Z11249,Z11253,Z11252,Z11251,Z11250,Z11257,Z11256,Z11255,Z11254,Z11259,Z11258,Z3169,Z3168,Z3163,Z3165,Z3164,Z3167,Z3166"
Z68,fake_root,1,"vector,equation,scalar,plane,vectors,interpolation,angle","1978.6375,-2286.3375","2319.5,-2176.7",6,0.39,"Z610,0.17400547574123093","Z11230,Z11158,Z11159,Z11150,Z11151,Z11152,Z11153,Z11154,Z11155,Z11156,Z11157,Z2423,Z2422,Z2421,Z2420,Z2427,Z2426,Z2425,Z2424,Z2429,Z2428,Z11200,Z11201,Z11202,Z11203,Z11204,Z11205,Z11206,Z11207,Z11208,Z11209,Z11147,Z11146,Z11145,Z11144,Z11143,Z11142,Z11141,Z11149,Z11148,Z2434,Z2435,Z2430,Z2431,Z2432,Z2433,Z11219,Z11218,Z11217,Z11216,Z11215,Z11214,Z11213,Z11212,Z11211,Z11210,Z3150,Z3151,Z3152,Z3153,Z3154,Z3155,Z3156,Z3157,Z3158,Z3159,Z455,Z454,Z457,Z456,Z459,Z458,Z521,Z523,Z522,Z11191,Z11195,Z11196,Z11197,Z11190,Z11192,Z11193,Z11198,Z11199,Z11194,Z11183,Z11182,Z11181,Z11180,Z11187,Z11186,Z11185,Z11184,Z11189,Z11188,Z11178,Z11179,Z11176,Z11177,Z11174,Z11175,Z11172,Z11173,Z11170,Z11171,Z2405,Z2404,Z2407,Z2406,Z2409,Z2408,Z11226,Z11227,Z11224,Z11225,Z11222,Z11223,Z11220,Z11221,Z11228,Z11229,Z11169,Z11168,Z11165,Z11164,Z11167,Z11166,Z11161,Z11160,Z11163,Z11162,Z3161,Z3160,Z3162,Z2416,Z2417,Z2414,Z2415,Z2412,Z2413,Z2410,Z2411,Z2418,Z2419"
Z63,fake_root,2,"manuscript,accepted,obtaining,tvcgcomputer,reprints,transactions,posted","2681.3852,-701.82664","2750.6,-932.16",6,0.36,,"Z1266,Z1267,Z1262,Z1263,Z1291,Z1290,Z1293,Z1292,Z1297,Z1264,Z1265,Z1268,Z1269,Z338,Z339,Z1425,Z1422,Z1329,Z1328,Z1338,Z1339,Z2152,Z2151,Z2150,Z417,Z353,Z57,Z58,Z59,Z1309,Z1308,Z1303,Z1302,Z1301,Z1307,Z1306,Z1305,Z1304,Z1409,Z2144,Z2145,Z2146,Z2140,Z2141,Z2142,Z2143,Z2148,Z2149,Z1316,Z1317,Z1310,Z1311,Z1312,Z1313,Z355,Z1424,Z2131,Z2130,Z2133,Z2132,Z2135,Z2134,Z2137,Z2136,Z2139,Z2138,Z1423,Z1420,Z1421,Z1300,Z1361,Z1360,Z1363,Z1362,Z1365,Z1364,Z1367,Z1366,Z1369,Z1368,Z2122,Z2123,Z2120,Z2121,Z2126,Z2127,Z2124,Z2125,Z2128,Z2129,Z1294,Z420,Z421,Z422,Z423,Z1372,Z1373,Z1370,Z1371,Z1376,Z1377,Z1374,Z1375,Z1378,Z1379,Z2119,Z2118,Z2117,Z2116,Z2115,Z2114,Z2113,Z2112,Z2111,Z2110,Z1299,Z1298,Z2147,Z1349,Z1348,Z1347,Z1346,Z1345,Z1344,Z1343,Z1342,Z1341,Z1340,Z1325,Z1324,Z1327,Z1326,Z1321,Z1320,Z1323,Z1322,Z1333,Z2108,Z2109,Z2100,Z2101,Z2102,Z2103,Z2104,Z2105,Z2106,Z2107,Z1288,Z1289,Z1282,Z1283,Z1280,Z1281,Z1286,Z1287,Z1284,Z1285,Z1358,Z1359,Z1350,Z1351,Z1352,Z1353,Z1354,Z1355,Z1356,Z1357,Z419,Z418,Z342,Z1335,Z1332,Z1383,Z1381,Z1380,Z1295,Z1296,Z1394,Z1395,Z1397,Z415,Z416,Z1390,Z1391,Z1392,Z1331,Z352,Z350,Z351,Z356,Z354,Z1393,Z1398,Z1399,Z1314,Z1315,Z1389,Z299,Z1388,Z1318,Z1319,Z1396,Z349,Z348,Z345,Z344,Z347,Z346,Z341,Z340,Z343,Z1419,Z1418,Z1413,Z1412,Z1411,Z1410,Z1417,Z1416,Z1415,Z1414,Z337,Z1404,Z1405,Z1406,Z1407,Z1400,Z1401,Z1402,Z1403,Z1408,Z1382,Z1387,Z1386,Z1385,Z1384,Z1336,Z1337,Z1334,Z1279,Z1278,Z1330,Z1273,Z1272,Z1271,Z1270,Z1277,Z1276,Z1275,Z1274"
Z62,fake_root,3,"document,documents,sentences,sentence,themes,query,party","2567.23545455,-3175.48772727","2553.1,-2761.8",6,0.18,"Z66,0.20033894586590473","Z1260,Z1261,Z1198,Z1199,Z334,Z335,Z279,Z278,Z275,Z274,Z277,Z276,Z271,Z270,Z273,Z272,Z1192,Z1193,Z1190,Z1196,Z1197,Z1211,Z1210,Z1213,Z1212,Z1215,Z1194,Z1217,Z1216,Z1219,Z1218,Z1195,Z1145,Z1144,Z1147,Z1146,Z1141,Z1140,Z1143,Z1142,Z1149,Z1148,Z282,Z280,Z281,Z284,Z285,Z286,Z287,Z1202,Z1203,Z1200,Z1201,Z1206,Z1207,Z1204,Z1205,Z1209,Z1156,Z1157,Z1154,Z1155,Z1152,Z1153,Z1150,Z1151,Z1158,Z1159,Z1191,Z1244,Z1245,Z1242,Z1243,Z1240,Z56,Z55,Z1239,Z1238,Z1237,Z1236,Z1235,Z1234,Z1233,Z1231,Z1230,Z1163,Z1162,Z1161,Z1160,Z1167,Z1166,Z1165,Z1164,Z1169,Z1168,Z1180,Z1183,Z1232,Z1187,Z1228,Z1229,Z1220,Z1221,Z1222,Z1223,Z1224,Z1225,Z1226,Z1227,Z290,Z1178,Z1179,Z1174,Z1175,Z1176,Z1177,Z1170,Z1171,Z1172,Z1173,Z1214,Z283,Z1127,Z1126,Z1125,Z1124,Z1123,Z1122,Z1121,Z1120,Z1129,Z1128,Z1135,Z293,Z292,Z291,Z297,Z296,Z295,Z294,Z1130,Z1131,Z1132,Z1133,Z1134,Z1136,Z1137,Z1138,Z1139,Z1118,Z1119,Z1117,Z1181,Z1182,Z1185,Z1184,Z1186,Z1246,Z1247,Z411,Z410,Z413,Z412,Z414,Z288,Z289,Z1241,Z298,Z1255,Z1254,Z1257,Z1256,Z1251,Z1250,Z1253,Z1252,Z1259,Z1258,Z330,Z331,Z332,Z333,Z336,Z248,Z249,Z49,Z1248,Z1249,Z1208,Z329,Z328,Z323,Z322,Z321,Z327,Z326,Z325,Z324,Z257,Z256,Z255,Z254,Z253,Z252,Z251,Z250,Z259,Z258,Z1189,Z1188,Z262,Z263,Z260,Z261,Z266,Z267,Z264,Z265,Z268,Z269"
Z61,fake_root,4,"events,analytics,event,technology,symposium,timeline,day","4437.63948718,-2260.39589744","3939.4,-2058.9",6,0.20,"Z66,0.20036338407581084","Z129,Z128,Z121,Z120,Z123,Z122,Z125,Z124,Z127,Z126,Z48,Z45,Z44,Z47,Z46,Z41,Z43,Z42,Z185,Z219,Z218,Z213,Z212,Z211,Z210,Z217,Z216,Z215,Z214,Z52,Z53,Z51,Z54,Z192,Z197,Z198,Z199,Z226,Z227,Z224,Z225,Z222,Z223,Z220,Z221,Z228,Z229,Z27,Z26,Z25,Z24,Z23,Z22,Z21,Z29,Z28,Z189,Z188,Z183,Z182,Z181,Z180,Z187,Z186,Z184,Z231,Z230,Z233,Z232,Z235,Z234,Z237,Z236,Z239,Z238,Z34,Z35,Z36,Z37,Z31,Z32,Z33,Z38,Z39,Z1109,Z1108,Z1101,Z1100,Z1103,Z1102,Z1105,Z1104,Z1107,Z1106,Z1112,Z1113,Z1110,Z1111,Z1114,Z1115,Z18,Z19,Z16,Z17,Z14,Z15,Z12,Z13,Z11,Z158,Z159,Z154,Z155,Z156,Z157,Z150,Z151,Z152,Z153,Z190,Z191,Z193,Z194,Z195,Z196,Z149,Z148,Z147,Z146,Z145,Z144,Z143,Z142,Z141,Z140,Z1116,Z178,Z179,Z172,Z173,Z170,Z171,Z176,Z174,Z175,Z177,Z165,Z164,Z167,Z166,Z161,Z160,Z163,Z162,Z169,Z168,Z138,Z110,Z111,Z112,Z113,Z114,Z115,Z116,Z117,Z118,Z119,Z244,Z245,Z246,Z247,Z240,Z241,Z242,Z243,Z311,Z319,Z320,Z139,Z136,Z137,Z134,Z135,Z132,Z133,Z130,Z131,Z316,Z317,Z314,Z315,Z312,Z313,Z310,Z318"
Z67,fake_root,5,"diverse,participants,article,participant,conducted,received,findings","4229.78031674,-1011.74959276","3914.5,-1164.9",6,0.26,"Z63,0.13674812748933282","Z1949,Z1868,Z1869,Z1866,Z1867,Z1864,Z1865,Z1862,Z1863,Z1860,Z1861,Z1998,Z1999,Z2319,Z2318,Z2311,Z2310,Z2313,Z2312,Z2315,Z2314,Z2317,Z2316,Z1859,Z1858,Z1853,Z1852,Z1851,Z1850,Z1857,Z1856,Z1855,Z1854,Z11140,Z3147,Z3146,Z3145,Z3144,Z3143,Z3142,Z3141,Z3140,Z3149,Z3148,Z2308,Z2309,Z2306,Z2307,Z1992,Z1993,Z1991,Z1996,Z1997,Z1994,Z1995,Z517,Z518,Z519,Z11118,Z1844,Z1845,Z1846,Z1847,Z1841,Z1842,Z1843,Z11119,Z1848,Z1849,Z11132,Z11133,Z11130,Z11131,Z11136,Z11137,Z11134,Z11135,Z11138,Z11139,Z11114,Z11115,Z11048,Z11049,Z11046,Z11047,Z11044,Z11045,Z11042,Z11043,Z11040,Z11041,Z11117,Z2337,Z2336,Z2335,Z2334,Z2333,Z2332,Z2331,Z2330,Z2339,Z2338,Z1969,Z1968,Z11103,Z1962,Z11101,Z1960,Z1967,Z1966,Z1965,Z11104,Z11121,Z11120,Z11123,Z11122,Z11125,Z1948,Z11127,Z11126,Z1945,Z1944,Z1947,Z1946,Z1941,Z1940,Z1943,Z1942,Z11129,Z11059,Z11058,Z11055,Z11054,Z11057,Z11056,Z11051,Z11050,Z11128,Z11052,Z2320,Z2321,Z2322,Z2323,Z2324,Z2325,Z2326,Z2327,Z2328,Z2329,Z11075,Z448,Z449,Z446,Z447,Z11072,Z11070,Z1958,Z1959,Z11068,Z11069,Z11060,Z11061,Z11062,Z11063,Z11064,Z11065,Z11066,Z11067,Z1990,Z451,Z450,Z453,Z452,Z11073,Z520,Z11109,Z11108,Z1963,Z11102,Z1961,Z11100,Z11107,Z11106,Z11105,Z1964,Z11124,Z11077,Z11076,Z11074,Z11071,Z11079,Z11078,Z1974,Z1975,Z1976,Z1977,Z1970,Z1971,Z1972,Z1973,Z1978,Z1979,Z11053,Z11000,Z11001,Z11006,Z11007,Z11004,Z11005,Z11008,Z11009,Z1901,Z1900,Z1903,Z1902,Z1905,Z1904,Z1907,Z1906,Z1909,Z1908,Z11011,Z11010,Z11013,Z11012,Z11015,Z11014,Z11017,Z11016,Z11019,Z11018,Z1912,Z1913,Z1910,Z1911,Z1916,Z1917,Z1914,Z1915,Z1918,Z1919,Z11028,Z11029,Z11024,Z11025,Z11026,Z11027,Z11020,Z11021,Z11022,Z11023,Z445,Z2391,Z2390,Z2393,Z2392,Z2395,Z2394,Z2397,Z2396,Z2399,Z2398,Z1929,Z1928,Z1927,Z1926,Z1925,Z1924,Z1923,Z1922,Z1921,Z1920,Z11039,Z11038,Z11033,Z11032,Z11031,Z11030,Z11037,Z11036,Z11035,Z11034,Z11002,Z11003,Z3125,Z3124,Z3127,Z3126,Z3121,Z3120,Z3123,Z3122,Z3129,Z3128,Z2382,Z2383,Z2380,Z2381,Z2386,Z2387,Z2384,Z2385,Z2388,Z2389,Z1981,Z1980,Z1983,Z1982,Z1985,Z1984,Z1987,Z1986,Z1938,Z1939,Z1930,Z1931,Z1932,Z1933,Z1934,Z1935,Z1936,Z1937,Z3136,Z3137,Z3134,Z3135,Z3132,Z3133,Z3130,Z3131,Z3138,Z3139,Z2355,Z2354,Z2357,Z2356,Z2351,Z2350,Z2353,Z2352,Z2359,Z2358,Z1896,Z1897,Z1956,Z1895,Z1894,Z1893,Z1892,Z1891,Z1890,Z11116,Z1899,Z1898,Z1955,Z11110,Z11111,Z11112,Z11113,Z2346,Z2347,Z2344,Z2345,Z2342,Z2343,Z2340,Z2341,Z2348,Z2349,Z1880,Z1881,Z1882,Z1883,Z1884,Z1885,Z1886,Z1887,Z1888,Z1889,Z11088,Z11089,Z11082,Z11083,Z11080,Z11081,Z11086,Z11087,Z11084,Z11085,Z3119,Z2373,Z2372,Z2371,Z2370,Z2377,Z2376,Z2375,Z2374,Z2379,Z2378,Z11091,Z2401,Z2400,Z2403,Z2402,Z1879,Z1878,Z1875,Z1874,Z1877,Z1876,Z1871,Z1870,Z1873,Z1872,Z1957,Z1954,Z1989,Z1988,Z1952,Z11099,Z11098,Z1953,Z11090,Z11093,Z11092,Z11095,Z11094,Z11097,Z11096,Z1950,Z1951,Z2368,Z2369,Z2364,Z2365,Z2366,Z2367,Z2360,Z2361,Z2362,Z2363"
Z66,fake_root,6,"expert,experts,tasks,feedback,cognitive,supporting,familiar","3248.01210526,-1927.40894737","3140.5,-1894.4",6,0.27,"Z67,0.37838729247688385","Z2302,Z2303,Z2300,Z2301,Z2304,Z2305,Z515,Z516,Z1840,Z1765,Z1764,Z1767,Z1814,Z1813,Z1760,Z1811,Z1810,Z1831,Z1830,Z1833,Z1832,Z1835,Z1834,Z1781,Z1780,Z1839,Z1838,Z1789,Z1788,Z442,Z443,Z441,Z444,Z1822,Z1823,Z1820,Z1821,Z1826,Z1795,Z1824,Z1825,Z1798,Z1799,Z1828,Z1829,Z1787,Z1786,Z1785,Z1784,Z1783,Z1782,Z1837,Z1836,Z2269,Z2268,Z2267,Z1769,Z1768,Z1819,Z1818,Z1817,Z1816,Z1815,Z1766,Z1761,Z1812,Z1763,Z1762,Z2278,Z2279,Z2272,Z2273,Z2270,Z2271,Z2276,Z2277,Z2274,Z2275,Z3117,Z3112,Z3113,Z1808,Z1809,Z1778,Z1779,Z1776,Z1777,Z1774,Z1803,Z1772,Z1773,Z1770,Z1771,Z1800,Z1801,Z1802,Z1804,Z1805,Z1806,Z1807,Z1749,Z1748,Z1743,Z1742,Z1741,Z1740,Z1747,Z1746,Z1745,Z1744,Z1754,Z1755,Z1756,Z1757,Z1750,Z1751,Z1752,Z1753,Z1758,Z1759,Z1775,Z1721,Z1720,Z1723,Z1722,Z1725,Z1724,Z1727,Z1726,Z1729,Z1728,Z1732,Z1733,Z1730,Z1731,Z1736,Z1737,Z1734,Z1735,Z1738,Z1739,Z1790,Z1791,Z1792,Z1793,Z1794,Z1827,Z1796,Z1797,Z2289,Z2288,Z2283,Z2282,Z2281,Z2280,Z2287,Z2286,Z2285,Z2284,Z3103,Z3107,Z3106,Z3105,Z3109,Z3108,Z2294,Z2295,Z2296,Z2297,Z2290,Z2291,Z2292,Z2293,Z2298,Z2299,Z1718,Z1719,Z1712,Z1713,Z1714,Z1715,Z1716,Z1717,Z3118,Z3114,Z3115,Z3116,Z3110,Z3111,Z3104"
Z65,fake_root,7,"renderer,buffer,render,rendered,texels,texel,texture","743.245965753,-1500.90537671","1099.3,-1533.7",6,0.22,"Z610,0.09463316030985006","Z1688,Z1689,Z1686,Z1687,Z1684,Z1685,Z1682,Z1683,Z1680,Z1681,Z2225,Z2224,Z2227,Z2226,Z2221,Z2220,Z2223,Z2222,Z2229,Z2228,Z2236,Z2237,Z2234,Z2235,Z2232,Z2230,Z2231,Z2238,Z2239,Z514,Z512,Z513,Z2203,Z2202,Z2201,Z2200,Z2207,Z2206,Z2205,Z2204,Z2209,Z2208,Z1541,Z1540,Z1543,Z1542,Z1545,Z1544,Z1547,Z1546,Z1549,Z1548,Z1560,Z1585,Z1584,Z440,Z1583,Z2218,Z2219,Z2214,Z2215,Z2216,Z2217,Z2210,Z2211,Z2212,Z2213,Z1552,Z1553,Z1550,Z1551,Z1556,Z1557,Z1554,Z1555,Z1558,Z1559,Z2261,Z2260,Z2263,Z2262,Z2265,Z2264,Z2266,Z1569,Z1568,Z1567,Z1566,Z1565,Z1564,Z1563,Z1562,Z1561,Z1615,Z1614,Z1617,Z1616,Z1611,Z1610,Z1613,Z1612,Z1619,Z1618,Z1587,Z1581,Z1580,Z1582,Z1589,Z1588,Z429,Z1578,Z1579,Z1570,Z1571,Z1572,Z1573,Z1574,Z1575,Z1576,Z1577,Z1606,Z1607,Z1604,Z1605,Z1602,Z1603,Z1600,Z1601,Z1608,Z1609,Z1596,Z1597,Z1598,Z1599,Z432,Z431,Z430,Z437,Z436,Z435,Z434,Z439,Z438,Z2247,Z2246,Z2245,Z2244,Z2243,Z2242,Z2241,Z2240,Z2249,Z2248,Z1633,Z1632,Z1631,Z1630,Z1637,Z1636,Z1635,Z1634,Z1639,Z1638,Z398,Z399,Z396,Z397,Z394,Z395,Z392,Z393,Z390,Z391,Z2250,Z2251,Z2252,Z2253,Z2254,Z2255,Z2256,Z2257,Z2258,Z2259,Z374,Z375,Z376,Z377,Z371,Z372,Z373,Z378,Z379,Z1628,Z1629,Z1624,Z1625,Z1626,Z1627,Z1620,Z1621,Z1622,Z1623,Z389,Z388,Z381,Z380,Z383,Z382,Z385,Z384,Z387,Z386,Z1659,Z1658,Z1651,Z1650,Z1653,Z1652,Z1655,Z1654,Z1657,Z1656,Z1594,Z1595,Z1592,Z1593,Z1590,Z1591,Z1648,Z1649,Z1642,Z1643,Z1640,Z1641,Z1646,Z1647,Z1644,Z1645,Z1586,Z2233,Z1709,Z1708,Z1707,Z1706,Z1705,Z1704,Z1703,Z1702,Z1701,Z1700,Z1677,Z1676,Z1675,Z1674,Z1673,Z1672,Z1671,Z1670,Z1679,Z1678,Z3101,Z3100,Z433,Z1710,Z1711,Z1660,Z1661,Z1662,Z1663,Z1664,Z1665,Z1666,Z1667,Z1668,Z1669,Z2197,Z2196,Z2195,Z2199,Z2198,Z1699,Z1698,Z1695,Z1694,Z1697,Z1696,Z1691,Z1690,Z1693,Z1692,Z3102,Z1539"
Z64,fake_root,8,"vertices,vertex,mesh,meshes,bunny,polyhedra,triangles","1460.48863636,-444.445863636","1674.8,-793.2",6,0.19,"Z610,0.1578872931016327","Z1518,Z1519,Z1516,Z1517,Z1514,Z1515,Z1512,Z1513,Z1510,Z1511,Z1462,Z1463,Z1460,Z1461,Z1466,Z1467,Z1464,Z1465,Z1468,Z1469,Z2179,Z2178,Z2175,Z2174,Z2176,Z2171,Z2170,Z2173,Z2172,Z1529,Z1528,Z1523,Z1522,Z1521,Z1520,Z1527,Z1526,Z1525,Z1524,Z1459,Z1458,Z1457,Z1456,Z1455,Z1454,Z1453,Z1452,Z1451,Z1450,Z2168,Z2169,Z2166,Z2167,Z2164,Z2165,Z2162,Z2163,Z2160,Z2161,Z510,Z511,Z1499,Z1433,Z1448,Z1449,Z1440,Z1441,Z1442,Z1443,Z1444,Z1445,Z1446,Z1447,Z1534,Z1536,Z1537,Z1530,Z1531,Z1532,Z1538,Z2159,Z2158,Z2153,Z2157,Z2156,Z2155,Z2154,Z2177,Z1488,Z1489,Z1484,Z1485,Z1486,Z1487,Z1480,Z1481,Z1482,Z1483,Z1426,Z1427,Z1493,Z1492,Z1491,Z1490,Z1494,Z1498,Z424,Z425,Z426,Z427,Z428,Z2193,Z2192,Z370,Z1497,Z367,Z366,Z365,Z364,Z363,Z362,Z361,Z360,Z369,Z368,Z1495,Z1439,Z1438,Z357,Z358,Z359,Z1428,Z1429,Z1496,Z2181,Z2188,Z2189,Z1435,Z1434,Z1437,Z1436,Z1431,Z1430,Z2194,Z2191,Z2190,Z1432,Z1509,Z1508,Z1505,Z1504,Z1507,Z1506,Z1501,Z1500,Z1503,Z1502,Z1471,Z1470,Z1473,Z1472,Z1475,Z1474,Z1477,Z1476,Z1479,Z1478,Z2180,Z2182,Z2183,Z2184,Z2185,Z2186,Z2187,Z1535,Z1533"
Z11309,Z2463,9,"handling,handle,handled,handles","2304.9,-1529.5","2304.9,-1529.5",1,0.34,"Z2463,0.2453365512929758",
Z11308,Z2462,9,"cost,costs","1667.7,-1087.5","1667.7,-1087.5",1,0.27,"Z2462,0.16758011787485178",
Z1266,Z2100,2,"interval,intervals","3104,-622.08","3104,-622.08",1,0.25,"Z2100,0.07070982729775707",
Z1267,Z2100,2,"corresponds,correspond","3178,-750.7","3178,-750.7",1,0.41,"Z2100,0.11258374897223028",
Z1260,Z298,3,"annotations,annotation,annotate","2223.1,-2996.6","2223.1,-2996.6",1,0.09,"Z298,0.09963329325338985",
Z1261,Z298,3,"sensemaking,foraging","2053.1,-3005.7","2053.1,-3005.7",1,0.04,"Z298,0.07637143139482805",
Z1262,Z299,2,"pre,post","3096,-863.1","3096,-863.1",1,0.39,"Z299,0.14284929678207603",
Z1263,Z299,2,"poses,pose,acquire,board","3028.3,-664.97","3028.3,-664.97",1,0.09,"Z299,0.053723468137088566",
Z11301,Z2461,9,"replaced,replacing,replace,replacement","1746.5,-1329.1","1746.5,-1329.1",1,0.27,"Z2461,0.04966767047221435",
Z11300,Z2461,9,"generating,generation,generates","1428.9,-1311.6","1428.9,-1311.6",1,0.07,"Z2461,0.042521551767039464",
Z11303,Z2462,9,"computation,computing,computations,computes","1410.6,-1221.6","1410.6,-1221.6",1,0.46,"Z2462,0.576586696717753",
Z11302,Z2461,9,"power,powerful","1805.3,-1228.3","1805.3,-1228.3",1,0.32,"Z2461,0.028601421153067658",
Z11305,Z2462,9,"simplicity,simpler,straightforward,consecutive,worst,fortunately,fastest","1580.1,-1222.6","1580.1,-1222.6",1,0.36,"Z2462,0.2416985466615854",
Z11304,Z2462,9,"optimization,optimized","1585.5,-1266.7","1585.5,-1266.7",1,0.55,"Z2462,0.3735315288314065",
Z11307,Z2462,9,"depends,depend","1797.3,-1184.3","1797.3,-1184.3",1,0.32,"Z2462,0.21417092320854836",
Z11306,Z2462,9,"assume,assumption,assuming","1495.4,-1264","1495.4,-1264",1,0.37,"Z2462,0.18663632568901706",
Z11398,Z2493,11,"slider,sliders","3483.4,-2582.9","3483.4,-2582.9",1,0.25,"Z2493,0.3397054235768051",
Z1291,Z2108,2,"check,checking,checked","3359.1,-799.88","3359.1,-799.88",1,0.33,"Z2108,0.11987393502996431",
Z1290,Z2108,2,"test,tests,tested,testing","3292.2,-899.12","3292.2,-899.12",1,0.33,"Z2108,0.42107386295436544",
Z1293,Z2109,2,"measurement,measurements","3308.5,-708.32","3308.5,-708.32",1,0.22,"Z2109,0.2570809819541251",
Z1292,Z2109,2,"measured,significantly,measuring","3381.4,-755.86","3381.4,-755.86",1,0.30,"Z2109,0.43165054556937915",
Z1518,Z2187,8,"jacobian,separatrices","1326.9,-680.31","1326.9,-680.31",1,0.07,"Z2187,0.15820612069779266",
Z1519,Z2188,8,"maxima,minima","1279.1,-765.85","1279.1,-765.85",1,0.09,"Z2188,0.2372556552854257",
Z1516,Z2186,8,"approximation,approximated,approximate,approximations,approximating,approximates","1547.8,-624.94","1547.8,-624.94",1,0.16,"Z2186,0.25210056157055566",
Z1517,Z2187,8,"saddle,saddles","1232.1,-623.93","1232.1,-623.93",1,0.05,"Z2187,0.1861913386624562",
Z1514,Z2185,8,"spline,splines","1399.3,-889.24","1399.3,-889.24",1,0.12,"Z2185,0.07714060368227488",
Z1515,Z2186,8,"piecewise,quadratic","1561.6,-713.07","1561.6,-713.07",1,0.25,"Z2186,0.5222856989339169",
Z1512,Z2184,8,"singularities,singularity","804.3,-468.87","804.3,-468.87",1,0.10,"Z2184,0.29158028263557273",
Z1513,Z2185,8,"polynomial,polynomials","1388.9,-845.19","1388.9,-845.19",1,0.09,"Z2185,0.19709213474228654",
Z1510,Z2183,8,"skeleton,skeletons","921.13,-614.61","921.13,-614.61",1,0.05,"Z2183,0.07246907534562914",
Z1511,Z2184,8,"hyperbolic,parabolic,dynamical,poincar","822.48,-424.86","822.48,-424.86",1,0.16,"Z2184,0.2141510049215472",
Z1297,Z2111,2,"sensitivity,sensitive,synthetic","3226.4,-1017.1","3226.4,-1017.1",1,0.15,"Z2111,0.2199205287469878",
Z1868,Z2316,5,"aspects,aspect","4955,-1333.6","4955,-1333.6",1,0.37,"Z2316,0.08702288763882522",
Z1869,Z2316,5,"relevant,relevance","5157.3,-1373","5157.3,-1373",1,0.39,"Z2316,0.07976583304155016",
Z1866,Z2316,5,"guide,guidance,guided","5118.5,-1245.3","5118.5,-1245.3",1,0.21,"Z2316,0.09299191472132548",
Z1867,Z2316,5,"knowledge,reasoning","5145.3,-1467.4","5145.3,-1467.4",1,0.40,"Z2316,0.15060702301789955",
Z1864,Z2315,5,"effectiveness,subjective","4982.8,-1457.4","4982.8,-1457.4",1,0.17,"Z2315,0.19503958093606213",
Z1865,Z2315,5,"suggest,suggests,suggested","4726.5,-1316.6","4726.5,-1316.6",1,0.31,"Z2315,0.21733473779209417",
Z1862,Z2315,5,"summary,summaries,summarizes","4635.6,-1336","4635.6,-1336",1,0.17,"Z2315,0.2136326972602665",
Z1863,Z2315,5,"rank,similarities,median,summarize,mining,rest,focusing","4718,-1398.9","4718,-1398.9",1,0.34,"Z2315,0.39643454794968563",
Z1860,Z2314,5,"outcomes,outcome,risk","5081.9,-1566.8","5081.9,-1566.8",1,0.14,"Z2314,0.1509938319742276",
Z1861,Z2314,5,"assess,assessment","4969.1,-1646.2","4969.1,-1646.2",1,0.18,"Z2314,0.21843736128656038",
Z11235,Z2438,0,"polyps,polyp","1878.8,-1891.8","1878.8,-1891.8",1,0.05,"Z2438,0.19178801103169324",
Z11234,Z2437,0,"hospital,health,symptoms,cancer,drug,federal","2171.9,-1845.2","2171.9,-1845.2",1,0.14,"Z2437,0.15374914737130715",
Z11237,Z2438,0,"colon,colonoscopy","1865.3,-1847.2","1865.3,-1847.2",1,0.06,"Z2438,0.16633345020801518",
Z11236,Z2438,0,"clinical,diagnosis","1912.4,-1801.2","1912.4,-1801.2",1,0.05,"Z2438,0.16901590781471032",
Z11231,Z2436,0,"surgical,planning,surgery,surgeons,surgeon","1914.1,-1987.7","1914.1,-1987.7",1,0.05,"Z2436,0.11940830067047739",
Z11230,Z2435,1,"vertically,horizontally","1750.7,-2401.8","1750.7,-2401.8",1,0.22,"Z2435,0.39209582808763294",
Z11233,Z2437,0,"patients,patient","2018,-1899.6","2018,-1899.6",1,0.07,"Z2437,0.24030291299052087",
Z1195,Z272,3,"excel,microsoft","2132.5,-2765.4","2132.5,-2765.4",1,0.17,"Z272,0.2280897841355109",
Z1198,Z273,3,"bar,bars","2103.2,-2961.6","2103.2,-2961.6",1,0.18,"Z273,0.39282014293494816",
Z1199,Z274,3,"tableau,multiples","2243.7,-2677.2","2243.7,-2677.2",1,0.04,"Z274,0.026568565123013664",
Z11239,Z2439,0,"mm,healthy","2334.6,-1786.4","2334.6,-1786.4",1,0.11,"Z2439,0.10719454539711729",
Z11238,Z2439,0,"disease,diseases","2346.9,-1830.4","2346.9,-1830.4",1,0.08,"Z2439,0.10954560706894326",
Z1462,Z2168,8,"connected,connectivity,connects","1099.8,-272.55","1099.8,-272.55",1,0.48,"Z2168,0.283468159949051",
